Sentence,Emotion
야수들이 수비도 너무못해,혐오
퇴근전 뉴스를 보다가 깜놀해서후다닥 까페에 들어왔네요,놀람
 조언 좀 부탁드려요............,슬픔
잘 있어요. 그리고 멍멍이 일이 그렇게 미안하면.. 와플도 하나 사주시면 안돼요?,슬픔
뭐?,놀람
동생남자가 깡패맞는가보네..,놀람
너무 드라마나 영화같이 짜맞추고 과장되고 단독 속보 형식으로 매일 터지는 그런보도를 보며 억울한부분도 있겠지,공포
대한민국 사법정의를 바로 세우기 위해 밤낮없이 일하시는 법관님들 존경합니다. 화이팅,행복
 관리는 역시 잘받았나봐...,슬픔
"다이어트 10kg 감량이 목푠데 안 그래도 없는 가슴, 엉덩이 빠질까 봐 걱정돼요",공포
응. 가끔 몸이 아파서 내가 꼭 곁에 있어야 해. 아무튼 고맙다.,중립
아! 백일이요. 백일.,중립
"  ^^제가 보내드리는 응원 받으시고, 더욱 승승장구 하세요~!!",행복
지리적인 것까지.. 너 가 본 적 있냐?,놀람
왜? 결재? 두고 가.,중립
아직 애기 태어날 날은 훨씬 많이 남았지만 ㅠㅠ,슬픔
어차피 떨어질꺼 말이라도 하시지..미친 일본ㄴ,혐오
최고의 연기를 보여준 김연아 선수 잘했어요,행복
"딸을 내가 키웠나, 지가 알아서 잘 컸지. 일이야 내가 좋아서 한거구...그런데도 갑자기 억울하단 생각이 드네. 내가 늙나.",슬픔
엄마가 만든거? 어유 우리 아들이 먹고 싶다는데 그럼 만들어줘야지,놀람
 그냥 커쇼는 어디서뛰든 잘던지는거다.,행복
죽어서도 못올듯,슬픔
러시아가 강호 스페인을 18-6으로 대파 ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ,놀람
아니，아냐! 그런 거 아냐!,놀람
현다이는 국민 고혈에 근거한 세금없으면 질텐데,중립
내 방보다 여기가 더 아늑하다..,행복
아! 괜찮아요. 저. 자전거 좋아해요. 구경하고 있을게요.,놀람
 근데 저는 돈이많이없는데 편지 준게 잘못이에요?,놀람
 왜이래요 ㅠㅠㅠㅠㅠ?,놀람
김크크가 슼으로? 에이 설마,놀람
똑똑히 기억해두겠음,분노
견찰 들아.... 지금 교통이 문제냐.... 나라가 망해가는데.... 끝까지 개 노릇하겠는건가...,혐오
"저런, 엄마 노안이 심해졌나보다.",중립
동네 걸레하나 치우는데 너무들 고생하셨네요 국민여러분?,행복
지금 상황이 엄청 엄중하구나...,공포
정말 대단합니다.,행복
   제가 진짜 미친걸까요?,공포
비상시국이다 당장 계엄선포해도 법적 문제가 안된다,공포
중국때문이지 ㅡㅡ 디젤차는 무슨디젤차야,혐오
요즘 날씨가 정말 이상해...,공포
왠지 박근혜랑 박정희가 오버랩된다.ㄷㄷㄷ,혐오
 나중에라도 문제가 생기는걸까요?,공포
알면 좀 내버려 둬!,분노
 죽고싶다 라는 생각 이 듭니다.,슬픔
내가 있잖아.,중립
감사했어요 아저씨! 장례식장에서도 다 도와 주시고...끝까지 같이 있어주시고...,슬픔
최신폰도 이제는 위험하구만 ㄱㄷ냥 사치였다는 것을 깨닫게 해주네..,놀람
 제가 요즘 부쩍 예민한 것 같아서 조언 한 번 받아보고 싶어서 이렇게 글을 올려봅니다..,슬픔
연예계는 연애하기 바쁘네 다들,놀람
말은 청산유수네 워....,혐오
정말 여자나 남자나 로봇과 성관계를 맺는 것이 일반화 되는 시대가 온다면 인류가 멸종될수도 있겠네요...,공포
인성교육 안시키면 한국에도 저런놈 나올것임ㅇㅇ,공포
 ?모르는게만많아서요;,공포
제목과 내용은 항상 다름 ㅎㅎ,슬픔
조류대가리가 하는게 다 그렇지뭐,혐오
토요일이요..?,중립
팀장! 자네 기사 봤나? 결혼 기사!,놀람
에어로빅을...작가 작업실에 와서 한다구요?,놀람
 좀이상타,놀람
 짧게 써서 죄송하네요..,슬픔
정책이라고 하면 딱딱하게 느끼는 사람들이 많은 것 같아서요. 요즘 인기 있는 개그 프로그램을 응용해 보면 어떨까 하는데요.,중립
 엄청 절제하다가 이번주말부터 오늘까지 폭식해서 5키로나 쪄버렸어요ㅠㅠㅠㅠㅠㅠ,슬픔
오냐--시원하다마다!,행복
막연히 보고싶다.,슬픔
넥센 성적이 고척돔도 살렸다?ㅋㅋ,놀람
일단 묶어놓고 얘기합시다.,중립
와 지금 먼지가 거의 안개수준이다..,혐오
버스가 피하지 말고 브레이크 밟았으면 소나타 후미 받고 큰 사고 까지 안났을텐데,놀람
 무작정 책 한권 사서 스크립트외울려고 하는데 가능할까요......,공포
근데 만우절인게 고민.0,슬픔
그럼 내일 드릴게요. 지금 당장 어디로 가란 말입니까.,슬픔
격하게 환영합니다!!!!!,행복
지금 너무 힘들고 눈물이 납니다.,슬픔
이렇게 바로 코 앞에 있는 걸 모르고.. 어떻게 서울에 주저앉혔어요? 산 꼭대기나 갈 인물인데,중립
그래도 당시에 잘했다고 생각하는데 ㅋㅋㅋ,행복
도대체 역습상황에서 왜 빽패스 하는거지??,놀람
가혹하다는 부모는 뭐지?,놀람
당신은 얼마받길래 국민들을 바보로알고 되지도않는소리하고있노,혐오
저도 제가 이상한거 같아요..,슬픔
허!,놀람
근데 박근혜 아직도 청와대에서 안나오고 뭐하니?,혐오
형. ,중립
호호 그보다 높은 자리는 ?,놀람
박그네 탄액~,혐오
야 씨 놀랬잖아! ,분노
설기헌이 레딩 시절에 파워 랭킹이 13위 였는데 와 ㅎㄷ ㄷ,놀람
남궁욱.헛소리 까발리지 말라.,분노
남편이 기다리는 드라마~~~ 스트레스가 풀린다고함 어찌나 웃어대는지,행복
굶었니? 다 먹었으면 일어나. ,중립
지금 그런거 따질 때냐? 비켜!! ,분노
 생일 진심으로 축하하고 좋은 하루 보내요^^,행복
맞아요 그리고 사무실에 앉아 있다가 밖에 나오니 기분도 좋네요.,중립
얼굴표정봐라 와사바리시뤄가 아스팔트로 갈아버리까나리다,분노
"편견덩어리죠, 당신처럼. 왜 남자가 반드시 여자보다 나이가 많아야 하는데요? 그거 누가 정한 법칙이에요? 내가 사는 방식은 내가 정해요. 난 사랑하면 같이 살아야 한다고 생각해요. 사람들 눈치 같은 거 보지말고. ",분노
둘째는 피부가 예민해서 기저귀도 아무거나 채울수가 없네요,슬픔
"우와, 책이 진짜 많구나. ",놀람
한심한 브라질리언,혐오
마당넓은집 아니면 안사.,혐오
와 추카추카 작감배 다들 덕분에 드라마 잘 보고 있어요.,행복
지치지말고 함께해요!!!,행복
대한민국에서 김종민 모르는사람듵있을까요,행복
 전남친은 집전화도 없고 서로 겹치는 친구도 없어요...,슬픔
기저귀를 떼야하는데 쉽지가 않네요.,슬픔
갑자기 중국엔 왜요?,놀람
이 식당이 50년 됐다고요?,놀람
다르던 말던 안볼거,혐오
신경 안 써도 돼. 일이잖아.,중립
누나!,놀람
하하하..............,중립
",,진심 !,,,,감사합니다,,,,",행복
부탁인데 더 이상 ... 내 인생 걱정하지 말구 자기 갈 길 가 ... 속절 없이 인생 낭비하지 말고! ,분노
  이런일이 있었는 줄은 몰랐네요. ..,공포
"사정이 생겨서 당분간 오른손을 못 쓰게 됐고, 원고 백업해놓은 메모리가 망가져서 뒷부분 50페이지를 다 날렸어. 그래서 지금부터 자기가 타자수 노릇을 해줘야 돼.",중립
네?,중립
정말 학업에 중요한 시기인데 연애해도 괜찮을지......,공포
 금방 컴백 준비하고 활동 끝나면 해외투어 가느라 힘들겠지만 그래도 힘내고 아프지말고 화이팅??,행복
참 혼란스럽달까요?,공포
누가 봐도 향후 10년안에 전쟁일어난다,공포
세계일보.....웬일이니....,공포
그쵸. 근데 우리 진짜 언제까지 병원에서만 이렇게 봐야하는 건지 모르겠어요.  ,중립
아.. 설마설마가 정말 일어날수도 있구나..,놀람
"뭐, 단순히 시험만 가지고 얘기하자면 문과 쪽이 압도적으로 편하지. 사실 그것도 사립이냐 국공립이냐에 따라 전혀 다르긴 하지만.",중립
"혹시 여자의 적은 여자라고 생각해? 그냥 궁금해서 묻는거야, 다 좋은데, 사람 보는 눈이 영 별루잖아. 괜히 영양가 없는 사람들한테까지 일일이 잘보이고 싶어 애만 쓰구, ",중립
진짜 할말이없다 할말이...... 이런인간 첨본다,놀람
9주 뒤에 나온다는 말만 하고 들어가서는 연락이없어서요,공포
둘중에 하나만 택해.,중립
검사결과요?,놀람
너도 나도 틀딱소리 듣겠네,혐오
잠깐 나가요,중립
괜히 샘플안나눠주면 야박해보이고..몇번그렇게했는데 아깝지않았거든요,공포
닮아요? 저는 전혀 그런 생각이 들지 않는데…,중립
"아, 제가 차를 급히 처리해야 돼서요. 금액 한번 맞춰볼라고 전화 드렸어요. ",중립
……됐어，신경 쓰지 마.,행복
 남도 아닌 가족끼리. .ㅠ.ㅠ,슬픔
허허허 민심이 떠났으니 미국으로 돌아가세요,혐오
모든 건 내 잘못이다.,슬픔
지루해서 채였다구?,놀람
갤럭시와 현대차 사주기 위해서 대출은 필수다,혐오
"아니, 아니예요. 그냥, 고, 고마워서..",놀람
"불난집에 불붙인격인가,일본?우리나라안에 우리의 소녀상을 세운것에콩나라팥나라할 자격이 있는가?자제하라,일본!",혐오
하하. 아주 당당하시네요. 백수 클럽이라. 직업이 없이 백수로 살았던 걸 자랑스럽게 생각하는 것 같은데요.,놀람
듣자하니 미래의 후배를 위해 상담을 해주었다면서? 방학인데도 봉사부 활동을 계속하다니 기특하군.,행복
 어떻게 해야 잘 빠질지ㅠㅠ,공포
그게 정말이야?,놀람
"지금 핫팩을 좀 보내주고 싶은데, 괜히 눈치 보이지 않을까요?",공포
 그리고 사전제작은 공중파 태양의 후예와 시청율 안 나온 달의연인도 로멘스물 사전제작인데 다 결말이 파격적이였다.,놀람
제발 고생 덜하게 여기서 뻥~~터져라,공포
8월 첫째주 금요일을 임시공휴일 지정해라,중립
도박은 지혼자 하고지혼자 죽기라도하지음주운전하고 이런 솜방맹이가;;;,놀람
"아니, 미안. 그 이야기는 걱정 안 해도 돼. 확실히 끝낼 테니까.",행복
요즘 세상이 좀 세상이 좀 무섭잖아요.,중립
아찔한 진자운동을 계속 하였다,공포
 그거도 조심해라.,공포
인공지능이 교육자를 대체한다고?,놀람
음~ 야 벌써 좀 커진거 같지 않냐?,중립
"그래요, 그럼.",중립
감 잡히는데도 없고? ,중립
너무힘들어요,슬픔
가려는데...제가 산부인과라는게 연말정산에 뜨면 안되거든요...ㅠ,공포
뭐가 틀려? 아는 사람들끼리 돕구 살자는 게 뭐가 잘못 됐냐고! ,분노
아가없이 제가 살아갈수 있을까 걱정입니다.,슬픔
선배 도움이 컸어요. 당신이 날 그렇게 대했으니까. 이번엔 그냥 넘어가지 않겠어! 절대로!,분노
나라에서 암살범 ............,놀람
아줌마. 안녕.,슬픔
진짜 우리나라 국민들 대단하다!!,행복
헤어진지 일주일째..,슬픔
내 이것들을 그냥..,분노
다시 한 번 묻겠습니다. 외도는 정말 없었던 거죠?,중립
포퓰리즘이랍시고 복지엔 인색함서 세금 빼돌리기는 재빠른것들..,혐오
부모님집에서 살다가 쫒겨났어요.,공포
뭐요?,중립
은근히 무섭네요...,공포
근대 결코 반대라고 남자친구가 삐지고 난리에요...,슬픔
"너, 좋은 인연이 나타난다고 나왔잖아? 흥, 좋겠다.",놀람
어떻게 생긴걸까 저분들의 공통점이 있나???,놀람
음식하기 정말 싫었는데달콤한 슈가보이님 등장으로흥미만땅~ㅎㅎ,행복
만약에 노트7 이문제 때문에 판매 발목잡으면하반기 시장 애플이 독주할탠데 큰일이네...,공포
저이제 학점깍이는건가요..,공포
미국이 낫지 중국쓰레기들 지구에 도움안되는 핵 폐기물,분노
조심좀합시다,분노
정말정말 어메이징한 여자다,놀람
아아，지쳤다……. 품 안의 자식을 떠나보낸 기분이야.,슬픔
인사 잘해서 평가 후하게 줬다고 개소리 한 담임 꼭 옷 벗겨라!!,분노
왜? ㅋㅋㅋㅋㅋㅋ 가끔 이해가...,놀람
저런애를 대통령으로 뽑아준 사람들이 이상하구나!,분노
니가 이 남편을 위해 이렇게까지 노력을 하는데 내가 우찌 포기하겠노? 그래! 내가 니를 위해서라도 포기안한다. 이리 와봐라!,행복
이건은 또 어느 재단이냐.,놀람
07-09 시즌은 진짜 넘사벽,행복
뭐 다 최순실이래...,혐오
언론과 방송 반드시 시민들 눈높이에 맞추고 조작사기질하는 찌라시 종편 퇴출시켜라,분노
잘아네 전업주부가 최고다 놀고먹고 애 유치원가면 그야말로 지상낙원,슬픔
 이렇게 집사기 어렵게 머ㅏㄴ들어 놓고 애 마이 낳으랜다.,분노
진짜 테임즈 팔뚝을 비롯한 몸은 대박임,행복
그세또 오후로 바뀌었군,놀람
어떻게 공무원이 됐지?,놀람
타이거jk 인줄;;;,놀람
선거때 언플을 병o신같이했으니 언론을 믿을리가없지,분노
우와 최민용씨 다리기네요 .비율이 좋네용,행복
그리고 나. 이래봬도 가계부를 꼭 쓰고 있어요.,중립
"그래도 정 궁금하시다면, 잘난 언니분께 직접 여쭤보시죠.",중립
나를? 왜?,놀람
포켓몬고 재밌음ㅋㅋㅋ,행복
연예인은 참 좋아 아파도 좀 쉬면 다시 나올수도 있고.. 일반직장인들은 언감생심..,슬픔
네. 그렇다니까요.,중립
전무에 교수로 후학양성에.나도 저렇게 될수 있을까.,공포
저나라도걱정이지만 너나라라 때문에 극한 상황까지 몰린 우리나라도 걱정이다,공포
 생리통도 점점 심해지고..,슬픔
어? 미안.. 저기 보니까 작은 숟가락이 하나 있길래..,슬픔
창피스럽다.,슬픔
"어째서 이런 어리석은 짓을……! 선생님, 외톨이를 뭐로 보는 겁니까! 외톨이를 강제로 교내 이벤트에 참가시켰다간 비극이 벌어질 뿐이라고요!",분노
 함부로 못자르는 시스템인가?,놀람
뭐랄까... 늘 그 자리에 있는 게 당연하다고 생각했는데.. 그게 당연한 게 아니구나... 하는 그런 느낌이랄까…,중립
다이어트가 절실해 보이는데요. ,중립
지금이라도 알았으니 됐어. 그런데 넌 왜 같이 안갔어?,놀람
미술계는 반성좀 합시다 작고하신 천화백이이제서야 영면 하겠군요,슬픔
한 시즌 좋을 글 감사드립니다~~^^,행복
공유님 !! 수고하셨어요 !!! 천만돌파축하드려요~~???? 다들수고하셨습니다!!!!,행복
"어쩔 수가 없었어...내년에도 일을 따야하는데, 어떻게 해?",중립
하는 생각에눈물이 나더라고요.,슬픔
임마 너 지난 달 영어점수가 52점이였어. 근데 갑자기 97점이 말이 돼?,놀람
응 기자야 정부가 시키드나?,분노
보통 헤어지면 더 사랑한 쪽이 갑이 된다잖아요,슬픔
그렇지 뭐..,중립
퇴근시간 다 됐지? 나가자. 저녁 먹게. ,중립
어떻게 오셨어요?,중립
오늘 무한도전 본방 잘 봤어요 ㅎㅎ!!!,행복
어떻게 그럴 수가 있어요. 그럴수가! 당신도 한번 생각을 해봐요.,분노
어라 이거보고 인권단체에서 우리나라도 교도소에 에어컨 설치하자고 하는거 아니야,혐오
닥아 하야해라!!!여기 아닌가???,행복
네?,놀람
차팔아주려고 아주 쥐어짜네~ 서민들 힘들다.,혐오
미치겠다..,슬픔
 손이 떨리네요,공포
크~ 좋다.,중립
산호에 이름새기는 정성이대단하네,분노
뜻밖에 성실하구나…….,놀람
 말 어떻게 붙이지 ㅠㅠ,공포
 아침에 눈 뜨는것 조차 지옥같아..,슬픔
"어, 그러니까……. 뭔 얘기인지 전혀 모르겠는데?",중립
그러고보니까 예전에 3개월동안 기침하는매우 고통스럽다는 병이있다던데 그건 아니겟죠..?,공포
정신나간 나라와 기관들!!!!,분노
그죠? 괜히 시끄러워지기만 하고...,중립
과장  진급댓슈~ㅎㅎ,행복
"네.. 우리 딸, 많이 못 가르치고 보냅니다. 정말 할 줄 아는 게 없어서, 애미 되는 마음이 무겁네요.",슬픔
둘이 방송할때만 봐도 여자 남자로 절대 안 보던데 말이되냐....ㅋㅋㅌㅌ,공포
"여러분, (야구)만화가 이렇게 안 좋은겁니다.",중립
어떻게 하면 이런 생각이 없어질까요0,슬픔
니성격 받아주는 남자도 없을꺼다 ㅋㅋㅋㅋㅋㅋㅋ,혐오
"현대차 영원히 불매!! 가족, 지인, 주변, 거래처 모두에게 단디 알리리라! 지들이 이정재야 뭐야!!",분노
제발 이게 뭔지 알려주세요간절합니다 ........,슬픔
짱개 색끼들이 가장 피해 입혔지,혐오
미친 박근혜 그 일당들,혐오
오늘 남자친구가 시계 잃어버렸다네요ㅠㅠ,슬픔
"아, 엄마는 어제 밤까지 일을 시키시더니, 새벽부터 왜 이러시냐. 어디가 어떻게 안좋아?",슬픔
네가 어떻게 나한테 이릴 수가 있어! 네가 어떻게!,분노
의학 드라다는 kbs가 진짜,중립
안본지 반년이 넘어간걸로 아는데우리 그렇게 깊게 사랑했나요.,놀람
제 맘이 너무아프거든요,슬픔
다시한번 SBS 연예대상 라디오DJ신인상 진심으로 축하드립니다..,행복
"아니야, 내가 괜한 소리 했지. 앞으로 그런걸루 싸우지 말자. ",중립
"뭐야, 그 자기완결은? 그런 타입의 사람이었어?",놀람
네?,놀람
요즘도 기차타고 고향가냐?,놀람
세븐틴 멤버여서 고맙구 윤정한으로 태어나줘서 고마워요!!,행복
저때까지 살아있을려나..,공포
불이나도 클라스가 다르네,놀람
나르샤 맞아?...,공포
와 진짜 같은 여자지만 개 쪽팔림 면상 두께 최소 유라시아판,혐오
최저임금도 안주면 어케해야되죠?,공포
능력 있는 이혼남이랑 연애하려면 그 정도는 감수해야 되는 거 아니냐.,중립
 ?세븐틴 해줘서 감사하구 감사해요,행복
야 정말 꼴 보기 싫다.,분노
 그럼죄송합니다,슬픔
그건 가보시면 압니다.,중립
... 죽도록 가르쳐서 명문대라는 데 보내 놓으면 뭐 해. 한 자리씩 차지하고 앉으면 죄다들 여기가 이상해져 버리는 걸. 헛짓이야. 그런 망종들 대학에 하나라도 덜 보내는 게 세상 돕는 길이야.,분노
서울시청을 옮기거나 폭파해 버려라.,분노
기자 지능이 미생물 수준이라서 외계인하고 외계 생물하고 많이 헛갈린 듯,분노
"닭대가리, 정신적으로 문제가 있다.",혐오
그래서 그런지 남자친구 군대보낸 여자를 건드는게 남자답지 못한 생각도 들고..,슬픔
데스크업무보는 회사로 재취직 준비해야하나..,공포
나라 전체가 정신병동,분노
 ... 그래. 알았어. 그만 하자. 내가 잘못했어. 그만해.,슬픔
어제 개학하고어제 오늘 정신이 하나도 없네요....어후......,공포
뭐라구 말 걸어야할까요 ㅠㅠ,슬픔
형!!,분노
한국에 온 지 좀 됐어요. 발차기 정말 멋져요. 혹시 태권도 선수?,중립
이미 지나간 일인데 어떻하라고!,슬픔
어~ 그게요……선생님,공포
음주네 빤한 거짓말 소중한 생명만 아깝다,슬픔
아픈게 아니긴! 펄펄 끓는구만!,중립
"아.. 그거.. 많이 촌스럽나요? 거북이 말고 양도 있었는데, 양을 할 껄 그랬네요.. 거북이가 좀 촌스럽죠? ",슬픔
김여사 예상해봅니다,분노
아베폰인가? ㄷㄷ..,놀람
 금연한 돈으로 기부까지 ^^,행복
마음식은여자 돌리는법없나요..,슬픔
세금 빼먹기 참 쉽죠잉,혐오
뿌웅 ~~~ 방구나 먹어라 ~~~,혐오
현제고등학생이학년인데아직멀해야될지모르겠어요..,공포
이따가 퇴근하고 병원에 같이 갈래요?,중립
월화는 구르미 수목은 루이~~♥,행복
언제 터질지 모르는거 옆에 있으면.,혐오
뭐?? 미쳤어...이 의처증 환자!!,놀람
급이 같다고 생각하나?,혐오
"그게, 왜 애들은 막무가내로 마음을 밀어붙여서 어른을 곤란하게 만드는 걸까, 해서.",중립
형님. 나 아무래도 그만 둘까봐요. 이 짓 못해 먹겠어. ,슬픔
매번 선톡하거나 이모티콘 인사를 해주는 울엄마 ㅠ.ㅠ따로 살지만 더 연락 많이 해야겠어요~~~,행복
왜요? 무슨 일 있었어요?,놀람
미야 겁나 이쁘더만,놀람
아니요.,중립
이브날 솔로들이 저리다 모이신건가,놀람
"저기, 잠시 괜찮아?",중립
와 대박 문희준 살 빠졌어 이뻐졌어 ㅋㅋㅋㅋ,놀람
오늘 트레이너 두 명 새로 왔다- 내가 쏜다! ,행복
뭐!? 너도!? 의외다!,놀람
이건 무슨 동네 양아지집단 같다,혐오
울산인데 집 다뿌사질거같음,공포
전엔 62위였는데 매번 순위 바뀝니다 알리도 60위권에서 이번에 10권내로 진입했고,행복
네?,놀람
지금까지 손흥민 경기보면 암 걸리는 기분이었는데 엊그제는 진짜 전나 잘했다.,행복
무한도전에서 연기 넘 잘하셨어여...,행복
본방도 안 보는데 추석땐 더 안 보죠ㅋㅋ,슬픔
 모두 복완전마니마니 받으실꺼에요♡,행복
나두 니가 좋아.,중립
어쨌든 미리 약속한 건 아니잖아.,혐오
내가 원래 귀가 좀 안좋아.,슬픔
저기도 노인들이 젊은애들 인생 말아먹은거지 ㅉㅉ,혐오
W의 이종석은 대상받을만 했음... 강철이 받은거지,행복
거 쥐똥만한 자식이 말 많네! 먹지마 먹지마! 차라리 버리구 말지 ,분노
동네유기견들 싹다모아 최여진모녀한테 보내자!!!!!!!!!!!!!!!!!! 버리기만 해봐라!!!!!!!!!!!!!!!!!!,분노
시상식 3대기획사 찬치인데 올해 Yg에 부재 방탄이 좋은기회를 받았네요.,행복
6.0 지진오는게 낳냐??,놀람
화를 내는 사람은 제 이미지가 아니기 때문인가 봐요.,중립
"이분들은 먹고사는건 걱정없는거 같구나,,,,,,,,,,,",혐오
당신은 하루종일 일 안했어요?,중립
우리..아들놈.. 당할만큼 당했어. 안 보여? 앞으로 반병신이 돼서 살아야 해. 평생 침대위에서 살아야 한다구. ,슬픔
바리바리 쪽바리데스요,혐오
동영상 저작권 걸렸자나!!!,분노
엽충이들 눈물을 머금고 우리 샘성이 그럴리가 없습네다!,놀람
바보 사진 보기 싫으니 올리지 마세요,혐오
네가 나한테 구슬 줬으니까 나도 너한테 구슬 주는 거야. 마음에 들어?,중립
나라꼴이 이모양인데,혐오
그럼 그냥 버리지 말고 사거리에 있는 가게로 가져가세요.,중립
그게 조금이냐? 체납의 척도를 모르겠네.,놀람
참여해주신분들 감사합니다.^^,행복
응? 뭐라 그랬는데? ,놀람
필요 없어도 지켜줄 거지?,슬픔
박근혜 주변 조금이라도 관련된 분들 조심하세요..,공포
밥 줘. ,중립
와 전기누진제 기사 쏙들어갔네!!!!,놀람
그냥 만약의 사태를 만들지 마!,분노
역시 순 부정적이었어!,분노
어? 갑자기 무슨..,놀람
광규형님과 완선누나가 커플2호가 되고. .,행복
어제 시댁은 잘 다녀왔어?,중립
트럼프 정부 끝이 참궁금하다.,혐오
내가 진짜 순간 잘난줄알았나봐..,공포
"할 거냐고, 말 거냐고 씨!",분노
 먼저 죄송하다고 말씀드립니다.,슬픔
"아니, 딱히 안 귀여워해 줄건데…….",중립
개박이와 핵누리 핵그넨이 보우하사 죄벌 공화국 만만세 ~~~~~~,분노
제생각엔 둘다 그래픽쪽이나 성능은 비슷하다고 보는데 친구는 너무 엑박쪽을 몰아세우네요..,공포
지금 연아선수 연기에 더이상 더 잘할 수가 있을까?,행복
 김정은 이름은 기억나냐?,분노
지구도 짱깨들한테 하도 시달리다 보니 참을성의 한계가 온듯 ㄷㄷㄷ,슬픔
미군이한국에서철수하면중국견제하기힘들걸?,공포
뭐 마실 거 좀 사올게요.,행복
새로운 제국주의 시작인가,혐오
제정신이 아니구만..,놀람
니가 짱이구나!!!!,행복
일본에도 꼭 세워져야 한다!,중립
조선족이 박근혜 하야하라 시위하는 격이네,공포
 우히히.......  어제 무한도전 너무 재밌게 봤어요,행복
"나도 많아요. 그런데 다들 결혼해서 술 먹자고 하면 꼬리 내리고, 애 본다고 하고, 억지로 만나도 애 이야기만 하다가 끝나니까, 짜증나서 내가 안 만나는거지.",슬픔
아저씨. 이 개 이름이 뭐예요?,중립
배터리가 문제인걸로 끝나는게 제일 좋은가보지.,중립
지난주부터 시작한 답답함언제 울고나니 좀 편안해졌다가다시 똑같은증상이 몇분지나지않아 아퍼오고그리고 참고 지금까지 있는데어떻게해야한지 뭘해야한지 모른다...,공포
댓글 달아주시면 고맙겠습니다~!!,행복
모르는 사람인데??,놀람
어?!! 그래? 아~ 자식 아무 소용없어요. 잘 키워놨더니. 결혼할 때 되니까. 얼마나 부모 속을 썩이는지 몰라요. ,놀람
니네 형이 나한테 부탁했어. 너 잘 타일러서 인간 만들어 달라구. 내 말 들어? 걔가 걱정하는거 나 절대 못 봐! ,분노
지금.. 20년 전에 죽은 여자를 찾아달란 얘기에요? ,놀람
아이고 이것아 내가 걱정이 돼서 그래.,공포
곧 전여자친구생일이네요ㅠ,공포
이것도 어차피 터진다에 한표,놀람
"그래... 그럼, 이 상황에서 휘파람이나 불어대는 거, 그거야말루 경거망동 아냐?! 탐험가구 나발이구 사람부터 되야 될꺼 아냐!!!",분노
돈이나 제대로 주고 이야기 해라,분노
"그렇습니까? 오늘 꼭 오라고 했는데, 볼일이 있는 게 아니었나요?",놀람
네.. 뭐..,중립
그래요? 그럼 아직 방이 남아 있는지 확인할 수 있을까요?,중립
그래서 난 제로칼로리 콜라가 좋음.,행복
너의 어깨에 광주인의 분노가 가득 들러붙었을꺼다,분노
어느쪽일이나을까요?,공포
그래도 역사와 전통이 있는 내기죠.,중립
우리집보다 반찬 많다~~!,놀람
화요일이 되면 슈가맨 볼 때마다 옛날 노래들이많이 있었구나라고 생각이 나더라고요,행복
ㅎㅎㅎㅎ 나 근데 잠와...ㅎ,공포
이번 주말 이틀 동안 집에 좀 가줬으면 좋겠어. 부동산에서 사람들 오는데 번호 알려주고 그냥 들어오랄 수 없잖아. 당신이 집에 가서 문 좀 열어줘.,중립
"너도 법정에 가서 한 번 봐야 돼. 어린애들 강간하고, 노인들 죽이고, 그러고도 재판정에서 하나도 부끄러워하지 않는 그런 놈들한테는 사형도 아까워.",중립
급발진이나 고쳐라ㅡㅡ,혐오
 흡연하시는 분들은 더 위험하실듯..,공포
"이번 국회에선 방산비리및경제사범,산업스파이들은 가중처벌할수있도록 법개정해라!",혐오
 미안하다.,슬픔
"암요, 아껴 써야지요. 헤헤헤... ",중립
누구 맘대로!!,분노
근데 4231해도 2선에 시소코알리에릭센 나올 것 같은데,놀람
오늘도 너무 많이 받기만 했네요. ,행복
학습능력은 1도 없음...,혐오
"……그거 고맙다. 나도 꽤 좋아하걸랑, 이런 나.",행복
유일하게 남은게 그분 내의나 냉장고에 붙혀진 시 한 편이 고작입니다.,슬픔
넌 내가 얼마나 힘들었는지 알 거야,슬픔
우리가 핀란드걱정하는거요?,중립
요즘 백주님 덕분에 온가족 입이 즐거워지고 있어요,행복
무슨 소리야. 이런 일엔 남들한테 협조를 구하는 게 더 효과적이잖아.,놀람
네? 동기의 착오요??,놀람
그래……. 실행 위원회 일로 바쁜 거야 이해하지만，지나치게 무리하지 않도록.,중립
그러게 좀 살살 몰라니까! 이거 어쩔거야?,분노
전 lg폰 좋아요^^가장 오래 쓴폰도 LG였는데ㅎ,행복
예전보다 정말 살이 쪘나봐여..,슬픔
"간절히 원하면 임신을 해야지, 어떻게 상상임신을... 웃겨… 미치겠다 증말... 믿어져?",슬픔
