title,artist,cleaned_lyrics
진정인가요,정서주,미련없다 그 말이 진정인가요 냉정했던 그 마음이 진정인가요 바닷가를 거닐며 수놓았던 그 추억 잊을 수가 있을까요 돌아설 때 눈물짓던 당신이라면 영원토록 영원토록 죽어도 못 잊을 겁니다 잊어달라 그 말이 진정인가요 돌아서던 그 마음이 진정인가요 오솔길을 거닐며 주고받던 그 사랑 잊을 수가 있을까요 돌아설 때 울음 참던 당신이라면 잊으려도 잊으려도 죽어도 못 잊을 겁니다 죽어도 못 잊을 겁니다
멘토링 (Feat. 곽범),이지요,그댄 나의 멘토야 나는 당신의 에너지 즐거운 하루되세요 행복한 기분 너무 좋아요 그댄 나의 멘토야 당신과 함께 춤을 출거예요 하하 호호 모두 웃고 파이팅 힘들고 힘들 땐 함께 손 잡아주고 지치고 지칠 땐 서로 위로 해줘요 혼자 있지 말아요 함께 나누면 돼요 기쁨도 슬픔도 우리 나눠요 거기 멋진 아버님 거기 예쁜 어머니 얌전히 앉아만 있지 마요 함께 춤 춰요 그댄 나의 멘토야 나는 당신의 에너지 즐거운 하루되세요 행복한 기분 너무 좋아요 그댄 나의 멘토야 당신과 함께 춤을 출거예요 하하 호호 모두 웃고 파이팅 너와 내가 지금 힘든 일이 있어도 가끔 화가 나고 지칠 때가 있어도 이제는 웃어볼래 사람답게 살아 볼래 그대는 나의 친구 나의 멘토야 거기 멋진 오빠도 거기 예쁜 언니 얌전히 앉아만 있지마요 함께 춤 춰요 그댄 나의 멘토야 나는 당신의 에너지 즐거운 하루되세요 행복한 기분 너무 좋아요 그댄 나의 멘토야 당신과 함께 춤을 출거예요 하하 호호 모두 웃고 파이팅 우리 만남은 럭키야 나는 당신의 에너지 즐거운 하루되세요 행복한 기분 너무 좋아요 우리 만남은 럭키야 당신과 함께 춤을 출거예요 하하 호호 모두 웃고 파이팅 예 하하 호호 모두 행복하세요
사랑의삼매경,누나둘 (Nunadool),삼매경에 빠져요 사랑에빠져요 삼매경에 빠져요 사랑의삼매경에 빠져요 흠뻑 빠져버린 내맘 어디서 홀렸는지 몰라 당신 생각에 눈을 감으면 유후 삼매경 속 너무나 좋아 어둠속을 헤치고 사랑안고서 그댈 위한 내 사랑을 모두 줄게요 별빛물든 창가에 그대 모습이 너무나 아른거려요 삼매경에 빠지고 빠져 그대품에 안기러가요 우리둘이 나나난나나나나나나나나나 사랑의삼매경에 빠져요 잔뜩 부풀어진 내맘 어쩌다 이랬는지 몰라 우리 서로 사랑할때면 유후 삼매경 속 너무나 좋아 어둠속을 헤치고 사랑안고서 그댈 위한 내사랑을 모두 줄게요 달빛물든 창가에 그대 모습이 너무나 아른거려요 삼매경에 빠지고 빠져 그대품에 안기러가요 우리둘이 나나난나나나나나나나나나 삼매경에 빠지고 빠져 불꽃처럼 뜨거운 우리 너무 좋아 나나난나나 나나나나나나나 사랑아 내 사랑아 영원한 내 사랑아 우우우우우우우 우우우아아아아아아 우리둘이 나나난나나나나나나나나나 삼매경에 빠지고 빠져 불꽃처럼 뜨거운 우리 너무 좋아 나나난나나나나나나나나나 사랑의 삼매경에 사랑의 삼매경에 사랑의삼매경에 빠져요
유리꽃 (Cover Ver.),김준영,유리꽃처럼 입술만 훔치고 가버린 그날 그 카페에 지울 수 없는 너의 향기가 연기처럼 가물거리네 너도 나처럼 그리워 하나 문을 열면 올 것같은 사람아 사랑한다고 기다린다고 왜 내게 말을 못하나 유리꽃처럼 내 뺨에 흘러내리는 눈물도 너의 것인데 유리꽃처럼 입술만 훔치고 가버린 그날 그 카페에 지울 수 없는 너의 향기가 연기처럼 가물거리네 너도 나처럼 그리워 하나 문을 열면 올 것같은 사람아 사랑한다고 기다린다고 왜 내게 말을 못하나 유리꽃처럼 내 뺨에 흘러내리는 눈물도 너의 것인데
제목은 당신꽃,동후,가로등에 꽃이 피네요 그대와 함께 거닐 때 수줍어하던 그 사랑에 이름 모를 꽃이 피네요 눈 내려와 그 길 쌓이면 사랑 꽃도 쌓여갑니다 내 인생의 1절이 방금 지났구요 내 인생의 2절이 다가오면 당신과 두 손 잡고 부르는 노래 제목은 당신 꽃입니다
백세인생 살아보세,준카,복 들어온다 복들어온다 황금대박이 들어온다 대박잡아서 사랑찾고 대박잡아서 행복찾아 멋진인생 살아보세 사랑하는 님과함께 꽃길로걸어가며 행복한 세상을 살아보세 얼씨구좋다 절씨구좋아 우리함께 대박잡아서 건강찾고 행복찾아 백세인생 살아보세 우리모두 건강하게 백세인생 살아봐요 백세인생 살아봐요 복 들어온다 복들어온다 황금대박이 들어온다 대박잡아서 사랑찾고 대박잡아서 행복찾아 멋진인생 살아보세 사랑하는 님과함께 꽃길로걸어가며 행복한 세상을 살아보세 얼씨구좋다 절씨구좋아 우리함께 대박잡아서 건강찾고 행복찾아 백세인생 살아보세 우리모두 건강하게 백세인생 살아봐요 백세인생 살아봐요
그대 그리운 밤,김현주,이밤에 그대가없는 이밤에 바람이 쓸쓸히 부네요 이밤에 그대가없는 이밤에 떨어지는 낙엽소리만 정말로나를 사랑했나요 나 없이도 견딜만한가요 가만히둘래요 내버려둘께요 바람에뒹구는 낙엽처럼 돌아선발걸음뒤엔 비가내리고 힘없이감은두눈에 눈물이 내리네 사랑했던나의 사람아 내사람아 이밤도 그대가 돌아올것같은데 그리운나의 사랑아 널 사랑해 다시내게로 돌아오지않아도
그리고 별이 되어,안송화,흰구름이 떠오른 봄날 햇살을 등에 업고 피어나는 꽃 목련이여 첫사랑 꽃시를 심어놓았네 수많은 세월이 흐른 뒤에 알았다네 상처인 것을 내 마음에 별이 되어 남아있는 내 님이여 아아아아아 아아아아 다음 생에 다시 만나 그 사랑 다시 해보자
꽃피는 중년,초아강,가던 길을 멈추고서 걸어온 길 돌아보니 어느샌가 내 나이는 중년이란 이름이었네 나이는 숫자일 뿐 마음은 청춘이라 이제라도 아름다운 꽃으로 피어나리 내 나이는 오색빛의 꽃피는 중년이라네 사는 것이 바쁘다고 여기까지 온 줄도 몰랐네 눈 감았다 뜨고 나니 중년이란 이름이었네 아직도 늦지 않은 마음은 청춘이라 다시 한번 아름다운 꽃으로 피어나리 내 나이는 화려하게 꽃피는 중년이라네 내 나이는 오색빛의 꽃피는 중년이라네
뜨거운 술잔 (Ver.2),김성봉,지금도 어제 같아요 그날 밤 그대와 나 한숨과 한숨 사이에 비워지던 술잔 이 잔은 사랑의 잔 이 잔은 이별의 잔 비우고 채우던 눈물의 술잔 추억이 넘치도록 눈물이 넘치도록 채우고 비우던 뜨거운 술잔 그날 밤이 지나고 우리 사랑은 없던 일이 되었지만 그 술잔 그 눈물 아직도 그리워라 이 잔은 사랑의 잔 이 잔은 이별의 잔 비우고 채우던 눈물의 술잔 추억이 넘치도록 눈물이 넘치도록 채우고 비우던 뜨거운 술잔 그날 밤이 지나고 우리 사랑은 없던 일이 되었지만 그 술잔 그 눈물 아직도 그리워라 아직도 그리워라 아직도 그리워라
